,setor,matricula,cargo,funcao,salario,mes
0,PRESIDÊNCIA,40446,VEREADOR,VEREADOR,11534.82,1
1,GABINETE DA PRESIDÊNCIA,24547,CHEFE DE GABINETE DA PRESIDÊNCIA,CHEFE DE GABINETE DA PRESIDÊNCIA,17944.99,1
2,GABINETE DA PRESIDÊNCIA,27638,CHEFE DE CERIMONIAL,CHEFE DE CERIMONIAL,16058.65,1
3,GABINETE DA PRESIDÊNCIA,23180,ASSISTENTE LEGISLATIVO I,,-316.66,1
4,GABINETE DA PRESIDÊNCIA,23636,ASSISTENTE LEGISLATIVO III,,5868.13,1
5,GABINETE DA PRESIDÊNCIA,24166,ASSISTENTE LEGISLATIVO II,,11493.71,1
6,GABINETE DA PRESIDÊNCIA,24252,ASSESSOR LEGISLATIVO,,13950.88,1
7,GABINETE DA PRESIDÊNCIA,26468,ASSESSOR DE IMPRENSA INSTITUCIONAL,,10233.08,1
8,GABINETE DA PRESIDÊNCIA,27760,ASSISTENTE LEGISLATIVO III,,10515.31,1
9,GABINETE DA PRESIDÊNCIA,28147,ASSISTENTE LEGISLATIVO II,,9266.4,1
10,GABINETE DA PRESIDÊNCIA,28392,ASSISTENTE LEGISLATIVO III,,7362.54,1
11,GABINETE DA PRESIDÊNCIA,29035,ASSESSOR LEGISLATIVO,,9363.1,1
12,GABINETE DA PRESIDÊNCIA,29157,ASSISTENTE LEGISLATIVO III,,11439.21,1
13,GABINETE DA PRESIDÊNCIA,29191,ASSISTENTE LEGISLATIVO II,,602.98,1
14,GABINETE DA PRESIDÊNCIA,29315,ASSISTENTE LEGISLATIVO III,,2719.43,1
15,GABINETE DA PRESIDÊNCIA,29359,ASSISTENTE LEGISLATIVO I,,10809.02,1
16,GABINETE DA PRESIDÊNCIA,29385,ASSESSOR DE COMUNICAÇÃO EXTERNA I,,9595.3,1
17,GABINETE DA PRESIDÊNCIA,29540,DIRETOR DE COMUNICAÇÃO EXTERNA,,2648.06,1
18,GABINETE DA PRESIDÊNCIA,29550,ASSESSOR DE COMUNICAÇÃO EXTERNA II,,1553.32,1
19,GABINETE DA PRESIDÊNCIA,29616,SUBDIRETOR DE COMUNICAÇÃO EXTERNA,,2074.82,1
20,GABINETE DA PRESIDÊNCIA,29678,DIRETOR EXECUTIVO,,13212.99,1
21,GABINETE DA PRESIDÊNCIA,29864,ASSESSOR DE COMUNICAÇÃO EXTERNA I,,458.12,1
22,GABINETE DA PRESIDÊNCIA,29997,ASSESSOR DE IMPRENSA INSTITUCIONAL,,9258.83,1
23,GABINETE DA PRESIDÊNCIA,52218,COMISSIONADO,,10581.94,1
24,GABINETE DA PRESIDÊNCIA,230004,ASSESSOR LEGISLATIVO,,9525.8,1
25,GABINETE DA PRESIDÊNCIA,230194,ASSISTENTE LEGISLATIVO III,,5067.81,1
26,GABINETE DA PRESIDÊNCIA,230197,ASSISTENTE LEGISLATIVO III,,5276.36,1
27,GABINETE DA PRESIDÊNCIA,230498,ASSISTENTE LEGISLATIVO III,,4347.81,1
28,GABINETE DA PRESIDÊNCIA,230588,ASSESSOR DE IMPRENSA DA PRESIDÊNCIA,,15703.14,1
29,GABINETE DA PRESIDÊNCIA,230731,ASSISTENTE LEGISLATIVO I,,2779.61,1
30,GABINETE DA PRESIDÊNCIA,230748,ASSESSOR DE COMUNICAÇÃO EXTERNA I,,4301.85,1
31,GABINETE DA PRESIDÊNCIA,230776,DIRETOR DE COMUNICAÇÃO EXTERNA,,4356.24,1
32,01ª VICE-PRESIDÊNCIA,40557,VEREADOR,VEREADOR,11326.27,1
33,GABINETE DO 1º VICE-PRESIDENTE,28652,ASSESSOR LEGISLATIVO,,9263.83,1
34,GABINETE DO 1º VICE-PRESIDENTE,29950,ASSISTENTE LEGISLATIVO III,,7744.48,1
35,GABINETE DO 1º VICE-PRESIDENTE,230427,ASSISTENTE LEGISLATIVO III,,7381.98,1
36,GABINETE DO 1º VICE-PRESIDENTE,230503,ASSESSOR LEGISLATIVO,,16231.11,1
37,02ª VICE-PRESIDÊNCIA,40542,VEREADOR,VEREADOR,11326.27,1
38,GABINETE DO 2º VICE-PRESIDENTE,28797,ASSESSOR LEGISLATIVO,,11034.99,1
39,GABINETE DO 2º VICE-PRESIDENTE,230775,ASSISTENTE LEGISLATIVO III,,2117.92,1
40,01ª SECRETARIA DA MESA,40364,VEREADOR,VEREADOR,11534.82,1
41,01ª SECRETARIA DA MESA,10826,TÉCNICO ADMINISTRATIVO,,20997.84,1
42,GABINETE DO 1º SECRETÁRIO,230704,CHEFE DE GABINETE,CHEFE DE GABINETE,11785.46,1
43,GABINETE DO 1º SECRETÁRIO,22667,ASSISTENTE LEGISLATIVO II,,15422.91,1
44,GABINETE DO 1º SECRETÁRIO,25472,ASSISTENTE LEGISLATIVO I,,3421.14,1
45,GABINETE DO 1º SECRETÁRIO,28049,ASSISTENTE LEGISLATIVO II,,-29.25,1
46,GABINETE DO 1º SECRETÁRIO,28666,ASSISTENTE LEGISLATIVO I,,170.58,1
47,GABINETE DO 1º SECRETÁRIO,28854,ASSISTENTE LEGISLATIVO II,,-273.44,1
48,GABINETE DO 1º SECRETÁRIO,28946,ASSISTENTE LEGISLATIVO III,,3873.06,1
49,GABINETE DO 1º SECRETÁRIO,29959,ASSESSOR LEGISLATIVO,,850.03,1
50,GABINETE DO 1º SECRETÁRIO,52374,COMISSIONADO,,-581.42,1
51,GABINETE DO 1º SECRETÁRIO,52413,COMISSIONADO,,69.43,1
52,GABINETE DO 1º SECRETÁRIO,230332,ASSISTENTE LEGISLATIVO III,,1078.95,1
53,GABINETE DO 1º SECRETÁRIO,230761,ASSISTENTE LEGISLATIVO II,,2406.36,1
54,GABINETE DO 1º SECRETÁRIO,230762,ASSESSOR LEGISLATIVO,,8085.67,1
55,02ª SECRETARIA DA MESA,40471,VEREADOR,VEREADOR,10789.06,1
56,02ª SECRETARIA DA MESA,ausência de divulgação em razão de determinação judicial,,,16377.43,1
57,GABINETE DO 2º SECRETÁRIO,24403,ASSISTENTE LEGISLATIVO III,,-367.28,1
58,GABINETE DO 2º SECRETÁRIO,27871,ASSISTENTE LEGISLATIVO III,,7018.38,1
59,GABINETE DO 2º SECRETÁRIO,28076,ASSISTENTE LEGISLATIVO III,,-407.5,1
60,GABINETE DO 2º SECRETÁRIO,230355,ASSESSOR LEGISLATIVO,,-52.95,1
61,GABINETE DO 2º SECRETÁRIO,230556,ASSISTENTE LEGISLATIVO III,,8550.62,1
62,GABINETE DO 2º SECRETÁRIO,230746,ASSESSOR LEGISLATIVO,,6784.7,1
63,01º SUPLENTE DA MESA,40587,VEREADOR,VEREADOR,11482.68,1
64,02º SUPLENTE DA MESA,40563,VEREADOR,VEREADOR,11326.27,1
65,CORREGEDORIA,40538,VEREADOR,VEREADOR,11378.4,1
66,CORREGEDORIA,25074,ASSISTENTE LEGISLATIVO III,,470.04,1
67,CORREGEDORIA,28541,ASSISTENTE LEGISLATIVO III,,5543.37,1
68,CORREGEDORIA,29670,ASSISTENTE LEGISLATIVO III,,9097.75,1
69,CORREGEDORIA,230368,COORDENADOR DE CORREGEDORIA,,17485.35,1
70,OUVIDORIA DA CÂMARA MUNICIPAL DE SÃO PAULO,29265,OUVIDOR,OUVIDOR,17707.66,1
71,OUVIDORIA DA CÂMARA MUNICIPAL DE SÃO PAULO,22545,OUVIDOR ADJUNTO,OUVIDOR ADJUNTO,25481.46,1
72,OUVIDORIA DA CÂMARA MUNICIPAL DE SÃO PAULO,28892,AUXILIAR DE OUVIDORIA,AUXILIAR DE OUVIDORIA,8943.92,1
73,OUVIDORIA DA CÂMARA MUNICIPAL DE SÃO PAULO,29582,AUXILIAR DE OUVIDORIA,AUXILIAR DE OUVIDORIA,5797.81,1
74,OUVIDORIA DA CÂMARA MUNICIPAL DE SÃO PAULO,51896,COMISSIONADO,,6113.74,1
75,OUVIDORIA DA CÂMARA MUNICIPAL DE SÃO PAULO,52139,COMISSIONADO,,6103.19,1
76,OUVIDORIA DA CÂMARA MUNICIPAL DE SÃO PAULO,52208,COMISSIONADO,,5810.9,1
77,ESCOLA DO PARLAMENTO,11263,CONSULTOR TÉCNICO LEGISLATIVO - PEDAGOGIA,COORDENADOR DA ESCOLA DO PARLAMENTO,-830.61,1
78,ESCOLA DO PARLAMENTO,10934,TÉCNICO ADMINISTRATIVO,,19926.98,1
79,ESCOLA DO PARLAMENTO,11040,PROCURADOR LEGISLATIVO,,32073.21,1
80,ESCOLA DO PARLAMENTO,11259,AUXILIAR OPERACIONAL,,5488.0,1
81,ESCOLA DO PARLAMENTO,11429,CONSULTOR TÉCNICO LEGISLATIVO - INFORMÁTICA,,12715.25,1
82,ESCOLA DO PARLAMENTO,11462,TÉCNICO ADMINISTRATIVO,,6304.53,1
83,ESCOLA DO PARLAMENTO,11468,TÉCNICO ADMINISTRATIVO,,6952.54,1
84,ESCOLA DO PARLAMENTO,23863,ASSISTENTE DA ESCOLA DO PARLAMENTO,,7652.66,1
85,ESCOLA DO PARLAMENTO,24302,ASSISTENTE DA ESCOLA DO PARLAMENTO,,4652.47,1
86,ESCOLA DO PARLAMENTO,28604,DIRETOR EXECUTIVO,,16214.59,1
87,ESCOLA DO PARLAMENTO,29010,ASSISTENTE DA ESCOLA DO PARLAMENTO,,4094.5,1
88,ESCOLA DO PARLAMENTO,52285,COMISSIONADO,,-601.29,1
89,ESCOLA DO PARLAMENTO,52298,COMISSIONADO,,6165.87,1
90,ESCOLA DO PARLAMENTO,52354,COMISSIONADO,,3448.44,1
91,ESCOLA DO PARLAMENTO,52377,COMISSIONADO,,9123.53,1
92,ESCOLA DO PARLAMENTO,230081,DIRETOR ACADÊMICO,,10141.91,1
93,ESCOLA DO PARLAMENTO,230110,ASSISTENTE DA ESCOLA DO PARLAMENTO,,5733.94,1
94,ESCOLA DO PARLAMENTO,230333,DIRETOR EXECUTIVO,,4533.26,1
95,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PV,20578,COORDENADOR DE LIDERANÇA,COORDENADOR DE LIDERANÇA,11715.37,1
96,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PV,28034,COORDENADOR DE LIDERANÇA,COORDENADOR DE LIDERANÇA,-840.0,1
97,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PV,21084,ASSISTENTE LEGISLATIVO III,,-840.0,1
98,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PV,28104,ASSISTENTE LEGISLATIVO III,,7358.81,1
99,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PV,230289,ASSISTENTE LEGISLATIVO III,,-840.0,1
100,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PP,230342,COORDENADOR DE LIDERANÇA,COORDENADOR DE LIDERANÇA,18052.77,1
101,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PP,52352,COMISSIONADO,,500.0,1
102,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PP,230319,ASSISTENTE LEGISLATIVO III,,5067.81,1
103,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PTB,26821,COORDENADOR DE LIDERANÇA,COORDENADOR DE LIDERANÇA,18172.53,1
104,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PTB,27190,ASSISTENTE LEGISLATIVO III,,10007.3,1
105,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PTB,29487,ASSISTENTE LEGISLATIVO III,,3352.34,1
106,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PTB,230364,ASSISTENTE LEGISLATIVO III,,-840.0,1
107,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PT,28767,COORDENADOR DE LIDERANÇA,COORDENADOR DE LIDERANÇA,17952.88,1
108,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PT,21699,ASSISTENTE LEGISLATIVO III,,6127.03,1
109,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PT,24802,ASSISTENTE LEGISLATIVO III,,7770.92,1
110,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PT,27811,ASSISTENTE LEGISLATIVO III,,206.06,1
111,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PT,28474,ASSISTENTE LEGISLATIVO III,,7590.87,1
112,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PT,28548,ASSISTENTE LEGISLATIVO III,,5299.79,1
113,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PT,28600,ASSISTENTE LEGISLATIVO III,,187.67,1
114,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PT,29515,ASSISTENTE LEGISLATIVO III,,4728.12,1
115,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PT,29516,ASSISTENTE LEGISLATIVO III,,6327.37,1
116,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PT,52313,COMISSIONADO,,-840.0,1
117,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PT,52325,COMISSIONADO,,1613.8,1
118,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PT,230086,ASSISTENTE LEGISLATIVO III,,12816.37,1
119,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PT,230116,ASSISTENTE LEGISLATIVO III,,5067.81,1
120,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PT,230260,ASSISTENTE LEGISLATIVO III,,6988.08,1
121,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PROS,230369,COORDENADOR DE LIDERANÇA,COORDENADOR DE LIDERANÇA,11954.41,1
122,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PROS,27785,ASSISTENTE LEGISLATIVO III,,10663.34,1
123,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PTN,28813,ASSISTENTE LEGISLATIVO III,,5531.77,1
124,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DA REDE SUSTENTABILIDADE,28108,ASSISTENTE LEGISLATIVO III,,-840.0,1
125,GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PHS,29747,COORDENADOR DE LIDERANÇA,COORDENADOR DE LIDERANÇA,1891.36,1
